question,answer,type
"""Are there designated quiet areas within the library?""","Yes, the second floor is designated for silent study.",paraphrased
What steps should I take to ask for an inter-library loan?,Submit a form at the information desk.,paraphrased
How can I go about requesting an inter-library loan?,Submit a form at the information desk.,paraphrased
What is the process to initiate an inter-library loan request?,Submit a form at the information desk.,paraphrased
What do I need to do to get an inter-library loan?,Submit a form at the information desk.,paraphrased
What is how do i request an inter-library loan??,Submit a form at the information desk.,paraphrased
Is it possible for me to enter the library once it's closed?,"No, except during exam periods.",paraphrased
Am I allowed to use the library facilities outside of regular hours?,"No, except during exam periods.",paraphrased
Can I visit the library when it is not open to the public?,"No, except during exam periods.",paraphrased
Will I be able to get into the library after it has closed for the day?,"No, except during exam periods.",paraphrased
Are there opportunities to access the library during after-hours times?,"No, except during exam periods.",paraphrased
How much do you have to pay if you lose a book?,Twice the cost of the book.,paraphrased
What penalty is imposed for a lost book?,Twice the cost of the book.,paraphrased
What will the charge be for a book that is lost?,Twice the cost of the book.,paraphrased
"If a book is lost, what is the financial consequence?",Twice the cost of the book.,paraphrased
What is what is the fine for lost books??,Twice the cost of the book.,paraphrased
"""Do the library facilities include charging stations?""","Yes, at every study carrel.",paraphrased
"""Is it possible to find charging stations within the library?""","Yes, at every study carrel.",paraphrased
"""Can I locate charging stations inside the library?""","Yes, at every study carrel.",paraphrased
"""Are charging stations available in the library?""","Yes, at every study carrel.",paraphrased
"""Does the library have charging stations for use?""","Yes, at every study carrel.",paraphrased
What's the best way to propose buying a book?,Email asklibrarian@usiu.ac.ke.,paraphrased
How can I recommend a book for purchase?,Email asklibrarian@usiu.ac.ke.,paraphrased
What steps should I take to suggest a book for buying?,Email asklibrarian@usiu.ac.ke.,paraphrased
In what manner can I put forward a book purchase suggestion?,Email asklibrarian@usiu.ac.ke.,paraphrased
What should I do to advise on purchasing a book?,Email asklibrarian@usiu.ac.ke.,paraphrased
Are former students allowed to access the library?,"Yes, after paying an annual fee of Ksh 5,000.",paraphrased
Is it possible for alumni to utilize the library facilities?,"Yes, after paying an annual fee of Ksh 5,000.",paraphrased
Do graduates have permission to use the library?,"Yes, after paying an annual fee of Ksh 5,000.",paraphrased
Can former members of the institution take advantage of the library resources?,"Yes, after paying an annual fee of Ksh 5,000.",paraphrased
Is library access available to alumni?,"Yes, after paying an annual fee of Ksh 5,000.",paraphrased
How much is the total semester fee for a Kenyan student enrolled in BSc Finance?,"147,400.00",paraphrased
What amount does a Kenyan student need to pay for the total semester fee in BSc Finance?,"147,400.00",paraphrased
What is the semester fee for a Kenyan student pursuing a BSc in Finance?,"147,400.00",paraphrased
Could you provide the total fee for a semester for a Kenyan student in the BSc Finance program?,"147,400.00",paraphrased
What is what is the total semester fee for bsc in finance for a kenyan student??,"147,400.00",paraphrased
How much does a student from East Africa need to pay for the semester fee of a BSc in Finance?,"155,400.00",paraphrased
What is the semester fee amount for East African students pursuing a BSc in Finance?,"155,400.00",paraphrased
What fee does an East African student incur for one semester in the BSc Finance course?,"155,400.00",paraphrased
What is the overall semester tuition fee for BSc in Finance for a student from East Africa?,"155,400.00",paraphrased
What is what is the total semester fee for bsc in finance for an east african student??,"155,400.00",paraphrased
How much does a Non-East African student need to pay for a semester in the BSc Finance program?,"197,640.00",paraphrased
What is the fee amount for a Non-East African student enrolled in the BSc Finance course for one semester?,"197,640.00",paraphrased
"For a student outside of East Africa, what is the total fee for one semester in the BSc Finance program?","197,640.00",paraphrased
What will a Non-East African student be charged for a semester's tuition in the BSc Finance degree?,"197,640.00",paraphrased
What is what is the total semester fee for bsc in finance for a non-east african student??,"197,640.00",paraphrased
How much does a Kenyan student need to pay for a semester in BSc International Business Administration?,"147,400.00",paraphrased
What is the complete semester cost for a Kenyan student enrolled in BSc International Business Administration?,"147,400.00",paraphrased
What are the semester fees for a Kenyan student pursuing a BSc in International Business Administration?,"147,400.00",paraphrased
What is the overall semester charge for a Kenyan student studying BSc International Business Administration?,"147,400.00",paraphrased
What is what is the total semester fee for bsc in international business administration for a kenyan student??,"147,400.00",paraphrased
How much does a semester cost for an East African student pursuing a BSc in International Business Administration?,"155,400.00",paraphrased
What is the semester fee amount for East African students enrolled in the BSc International Business Administration program?,"155,400.00",paraphrased
What will an East African student need to pay for a semester in the BSc program in International Business Administration?,"155,400.00",paraphrased
What is the fee for one semester of the BSc in International Business Administration for students from East Africa?,"155,400.00",paraphrased
What is what is the total semester fee for bsc in international business administration for an east african student??,"155,400.00",paraphrased
How much does a Non-East African student need to pay for a semester in the BSc program for International Business Administration?,"197,640.00",paraphrased
What is the semester fee amount for a Non-East African student enrolled in the BSc in International Business Administration?,"197,640.00",paraphrased
What is the fee per semester for a Non-East African student pursuing a BSc in International Business Administration?,"197,640.00",paraphrased
"For a Non-East African student, what is the total cost of the semester for the BSc in International Business Administration?","197,640.00",paraphrased
What is what is the total semester fee for bsc in international business administration for a non-east african student??,"197,640.00",paraphrased
How much does a Kenyan student need to pay for the entire semester fee for the BSc in Accounting program?,"147,400.00",paraphrased
What is the semester fee amount for a Kenyan student enrolled in the BSc in Accounting course?,"147,400.00",paraphrased
What is the overall semester fee for a Kenyan student pursuing a BSc in Accounting?,"147,400.00",paraphrased
"For a Kenyan student, what is the complete semester fee for the BSc in Accounting degree?","147,400.00",paraphrased
What is what is the total semester fee for bsc in accounting for a kenyan student??,"147,400.00",paraphrased
How much does a BSc in Accounting cost for an East African student for one semester?,"155,400.00",paraphrased
What is the fee for one semester of the BSc in Accounting program for students from East Africa?,"155,400.00",paraphrased
What is the total cost per semester for an East African student studying BSc in Accounting?,"155,400.00",paraphrased
Could you provide the semester tuition for an East African student pursuing a BSc in Accounting?,"155,400.00",paraphrased
What is what is the total semester fee for bsc in accounting for an east african student??,"155,400.00",paraphrased
How much does a Non-East African student need to pay in total for a semester of BSc in Accounting?,"197,640.00",paraphrased
What is the complete semester cost for a BSc in Accounting for students who are not from East Africa?,"197,640.00",paraphrased
What is the overall fee for a semester of BSc in Accounting for students who are not from the East African region?,"197,640.00",paraphrased
How much is the entire semester tuition for the BSc in Accounting program for students outside of East Africa?,"197,640.00",paraphrased
What is what is the total semester fee for bsc in accounting for a non-east african student??,"197,640.00",paraphrased
How much does a Kenyan student need to pay for the entire semester in the Bachelor of Global Leadership & Governance program?,"147,400.00",paraphrased
What is the complete semester cost for a Kenyan student pursuing the Bachelor of Global Leadership & Governance?,"147,400.00",paraphrased
"For a Kenyan student, what is the overall semester fee for the Bachelor of Global Leadership & Governance course?","147,400.00",paraphrased
What is the total fee for a semester of the Bachelor of Global Leadership & Governance for students from Kenya?,"147,400.00",paraphrased
What is what is the total semester fee for bachelor of global leadership & governance for a kenyan student??,"147,400.00",paraphrased
How much does a Bachelor of Global Leadership & Governance cost for an East African student for the semester?,"155,400.00",paraphrased
Could you tell me the total semester fee for East African students enrolled in the Bachelor of Global Leadership & Governance program?,"155,400.00",paraphrased
What is the semester fee for an East African student pursuing a Bachelor's in Global Leadership & Governance?,"155,400.00",paraphrased
Can you provide the total fee for a semester for East African students in the Bachelor of Global Leadership & Governance course?,"155,400.00",paraphrased
What is the overall semester charge for an East African student studying Bachelor of Global Leadership & Governance?,"155,400.00",paraphrased
How much does a Non-East African student need to pay for the entire semester fee for the Bachelor of Global Leadership & Governance program?,"197,640.00",paraphrased
What is the overall semester fee for a Bachelor of Global Leadership & Governance for students who are not from East Africa?,"197,640.00",paraphrased
"For a Non-East African student, what is the total amount required for the semester fee in the Bachelor of Global Leadership & Governance?","197,640.00",paraphrased
What is the complete semester fee that a Non-East African student has to pay for the Bachelor of Global Leadership & Governance?,"197,640.00",paraphrased
What is what is the total semester fee for bachelor of global leadership & governance for a non-east african student??,"197,640.00",paraphrased
How much does a Kenyan student need to pay for a semester in BSc Hotel & Restaurant Management?,"158,100.00",paraphrased
What is the semester cost for Kenyan students enrolled in BSc Hotel & Restaurant Management?,"158,100.00",paraphrased
What will a Kenyan student be charged for a semester in the BSc program for Hotel & Restaurant Management?,"158,100.00",paraphrased
What is the overall fee for a semester for Kenyan students pursuing a BSc in Hotel & Restaurant Management?,"158,100.00",paraphrased
What is what is the total semester fee for bsc in hotel & restaurant management for a kenyan student??,"158,100.00",paraphrased
How much does a semester cost for an East African student pursuing a BSc in Hotel & Restaurant Management?,"166,100.00",paraphrased
What is the total fee for one semester of the BSc in Hotel & Restaurant Management for students from East Africa?,"166,100.00",paraphrased
What would an East African student need to pay for a semester in the BSc in Hotel & Restaurant Management?,"166,100.00",paraphrased
Could you provide the total amount for the semester fee for BSc in Hotel & Restaurant Management for students from East Africa?,"166,100.00",paraphrased
What is what is the total semester fee for bsc in hotel & restaurant management for an east african student??,"166,100.00",paraphrased
How much does a Non-East African student need to pay for the semester fee in BSc Hotel & Restaurant Management?,"208,340.00",paraphrased
What is the semester fee amount for a Non-East African student enrolled in the BSc program for Hotel & Restaurant Management?,"208,340.00",paraphrased
Could you provide the total semester fee for the BSc in Hotel & Restaurant Management for students who are not from East Africa?,"208,340.00",paraphrased
What is the fee for one semester of the BSc in Hotel & Restaurant Management for students that are not from East Africa?,"208,340.00",paraphrased
What is what is the total semester fee for bsc in hotel & restaurant management for a non-east african student??,"208,340.00",paraphrased
How much does a Kenyan student need to pay for a semester studying BA in International Relations?,"147,400.00",paraphrased
What is the semester fee that a Kenyan student must pay for the BA in International Relations program?,"147,400.00",paraphrased
What is the fee for one semester of the BA in International Relations for a student from Kenya?,"147,400.00",paraphrased
How much is the total semester charge for a Kenyan student enrolled in the BA in International Relations?,"147,400.00",paraphrased
What is what is the total semester fee for ba in international relations for a kenyan student??,"147,400.00",paraphrased
How much is the semester fee for an East African student pursuing a BA in International Relations?,"155,400.00",paraphrased
What would an East African student need to pay in total for a semester of the BA in International Relations program?,"155,400.00",paraphrased
What is the full semester fee for the BA in International Relations for students hailing from East Africa?,"155,400.00",paraphrased
Could you provide the total semester fee for an East African student enrolled in the BA in International Relations?,"155,400.00",paraphrased
What is what is the total semester fee for ba in international relations for an east african student??,"155,400.00",paraphrased
How much does a Non-East African student need to pay for the semester fee of a BA in International Relations?,"197,640.00",paraphrased
What is the semester fee amount for a BA in International Relations for students who are not from East Africa?,"197,640.00",paraphrased
What is the fee for one semester of the BA in International Relations for students who are outside of East Africa?,"197,640.00",paraphrased
"For a Non-East African student, what is the full semester fee for pursuing a BA in International Relations?","197,640.00",paraphrased
What is what is the total semester fee for ba in international relations for a non-east african student??,"197,640.00",paraphrased
How much does a Kenyan student need to pay for the semester fee of the BA in Psychology program?,"147,400.00",paraphrased
What is the semester fee amount for a Kenyan student pursuing a BA in Psychology?,"147,400.00",paraphrased
"For a Kenyan student, what is the complete fee for one semester of the BA in Psychology course?","147,400.00",paraphrased
What is the overall semester fee that a Kenyan student has to pay for the BA in Psychology?,"147,400.00",paraphrased
What is what is the total semester fee for ba in psychology for a kenyan student??,"147,400.00",paraphrased
How much does a semester cost for an East African student pursuing a BA in Psychology?,"155,400.00",paraphrased
What is the overall fee for a semester of the BA in Psychology program for students from East Africa?,"155,400.00",paraphrased
What would be the complete semester fee for an East African student enrolled in the BA in Psychology course?,"155,400.00",paraphrased
What is the total cost of the semester for an East African student in the BA Psychology program?,"155,400.00",paraphrased
What is what is the total semester fee for ba in psychology for an east african student??,"155,400.00",paraphrased
How much is the semester fee for a Non-East African student pursuing a BA in Psychology?,"197,640.00",paraphrased
What would a Non-East African student need to pay for one semester of the BA in Psychology?,"197,640.00",paraphrased
What is the semester tuition fee for the BA in Psychology for students who are not from East Africa?,"197,640.00",paraphrased
Could you provide the total semester fee for a Non-East African student enrolled in a BA in Psychology?,"197,640.00",paraphrased
What is what is the total semester fee for ba in psychology for a non-east african student??,"197,640.00",paraphrased
How much does a Kenyan student need to pay for the semester fee for a BA in Sociology?,"147,400.00",paraphrased
What is the semester fee amount for a Kenyan student pursuing a BA in Sociology?,"147,400.00",paraphrased
"For a Kenyan student, what is the overall semester fee for enrolling in a BA program in Sociology?","147,400.00",paraphrased
What is the total fee for the semester for a Kenyan student studying BA in Sociology?,"147,400.00",paraphrased
What is what is the total semester fee for ba in sociology for a kenyan student??,"147,400.00",paraphrased
How much does a student from East Africa pay for a semester in the BA Sociology program?,"155,400.00",paraphrased
What is the semester cost for an East African student enrolled in the BA in Sociology?,"155,400.00",paraphrased
What would be the semester tuition fee for a BA in Sociology for a student from East Africa?,"155,400.00",paraphrased
"For an East African student, what is the full semester fee for the BA program in Sociology?","155,400.00",paraphrased
What is what is the total semester fee for ba in sociology for an east african student??,"155,400.00",paraphrased
How much does a Non-East African student need to pay for the semester fee for a BA in Sociology?,"197,640.00",paraphrased
What is the semester fee amount for a Non-East African student pursuing a BA in Sociology?,"197,640.00",paraphrased
"For a BA in Sociology, what is the semester fee for students who are not from the East African region?","197,640.00",paraphrased
What is the total cost of the semester for a Non-East African student enrolled in a BA in Sociology program?,"197,640.00",paraphrased
What is what is the total semester fee for ba in sociology for a non-east african student??,"197,640.00",paraphrased
How much does a Kenyan student need to pay for the semester fee in BA Criminal Justice Studies?,"150,400.00",paraphrased
What is the semester fee amount for Kenyan students enrolled in the BA program for Criminal Justice Studies?,"150,400.00",paraphrased
What would be the total semester fee for a student from Kenya pursuing a BA in Criminal Justice Studies?,"150,400.00",paraphrased
How much is the semester fee for Kenyan students studying BA in Criminal Justice Studies?,"150,400.00",paraphrased
What is what is the total semester fee for ba in criminal justice studies for a kenyan student??,"150,400.00",paraphrased
How much does a semester cost for an East African student enrolling in the BA in Criminal Justice Studies?,"158,400.00",paraphrased
What would an East African student need to pay for a semester of the BA in Criminal Justice Studies program?,"158,400.00",paraphrased
What is the semester fee amount for the BA in Criminal Justice Studies for students who are from East Africa?,"158,400.00",paraphrased
How much is the total fee for a semester for the BA in Criminal Justice Studies specifically for East African students?,"158,400.00",paraphrased
What is what is the total semester fee for ba in criminal justice studies for an east african student??,"158,400.00",paraphrased
How much does a Non-East African student need to pay for the total semester fee in BA Criminal Justice Studies?,"200,640.00",paraphrased
What is the complete semester cost for BA in Criminal Justice Studies for students who are not from East Africa?,"200,640.00",paraphrased
"For a Non-East African student, what is the overall fee for one semester of BA in Criminal Justice Studies?","200,640.00",paraphrased
Could you provide the total semester fee for a Non-East African student pursuing BA in Criminal Justice Studies?,"200,640.00",paraphrased
What is what is the total semester fee for ba in criminal justice studies for a non-east african student??,"200,640.00",paraphrased
How much does a Kenyan student need to pay in total for a semester of the BSc in Applied Computer Technology?,"220,400.00",paraphrased
What is the complete semester cost for a Kenyan student enrolled in the BSc in Applied Computer Technology program?,"220,400.00",paraphrased
What is the full semester tuition fee for a Kenyan student studying BSc in Applied Computer Technology?,"220,400.00",paraphrased
How much is the overall semester charge for the BSc in Applied Computer Technology for a student from Kenya?,"220,400.00",paraphrased
What is what is the total semester fee for bsc in applied computer technology for a kenyan student??,"220,400.00",paraphrased
How much does a student from East Africa need to pay for the semester fee in BSc Applied Computer Technology?,"228,400.00",paraphrased
What is the semester fee amount for an East African student pursuing a BSc in Applied Computer Technology?,"228,400.00",paraphrased
What are the semester fees for the BSc in Applied Computer Technology for students from East Africa?,"228,400.00",paraphrased
"For an East African student, what is the total fee for one semester in the BSc Applied Computer Technology program?","228,400.00",paraphrased
What is what is the total semester fee for bsc in applied computer technology for an east african student??,"228,400.00",paraphrased
How much does a Non-East African student need to pay in total for a semester of BSc in Applied Computer Technology?,"291,790.00",paraphrased
What would be the total cost of the semester for a Non-East African student studying BSc in Applied Computer Technology?,"291,790.00",paraphrased
"For a Non-East African student, what is the complete fee for one semester in the BSc in Applied Computer Technology course?","291,790.00",paraphrased
What is the overall semester fee for a Non-East African student pursuing a BSc in Applied Computer Technology?,"291,790.00",paraphrased
What is what is the total semester fee for bsc in applied computer technology for a non-east african student??,"291,790.00",paraphrased
How much does a Kenyan student have to pay in total for a semester of BSc in Information System Technology?,"220,400.00",paraphrased
What is the full semester cost for a Kenyan student pursuing a BSc in Information System Technology?,"220,400.00",paraphrased
What is the complete semester fee that a Kenyan student needs to pay for the BSc in Information System Technology program?,"220,400.00",paraphrased
Could you provide the total semester charges for a Kenyan student studying BSc in Information System Technology?,"220,400.00",paraphrased
What is what is the total semester fee for bsc in information system technology for a kenyan student??,"220,400.00",paraphrased
How much does a student from East Africa need to pay for the BSc in Information System Technology each semester?,"228,400.00",paraphrased
What is the semester fee amount for the BSc in Information System Technology specifically for East African students?,"228,400.00",paraphrased
Could you tell me the total cost per semester for an East African student pursuing a BSc in Information System Technology?,"228,400.00",paraphrased
"For a student from East Africa, what is the total fee for one semester in the BSc Information System Technology program?","228,400.00",paraphrased
What is the overall semester fee for East African students enrolled in the BSc in Information System Technology?,"228,400.00",paraphrased
How much does a Non-East African student need to pay for the semester fee of the BSc in Information System Technology?,"291,790.00",paraphrased
What is the semester fee amount for a BSc in Information System Technology for students outside of East Africa?,"291,790.00",paraphrased
"For a Non-East African student, what is the total fee for a semester in the BSc program for Information System Technology?","291,790.00",paraphrased
What is the overall semester charge for a Non-East African student enrolled in the BSc in Information System Technology?,"291,790.00",paraphrased
What is what is the total semester fee for bsc in information system technology for a non-east african student??,"291,790.00",paraphrased
How much does a Kenyan student need to pay for a semester of BSc in Data Science & Analytics?,"220,400.00",paraphrased
What is the semester fee amount for a Kenyan pursuing BSc in Data Science & Analytics?,"220,400.00",paraphrased
What is the cost of the semester for a Kenyan student enrolled in the BSc in Data Science & Analytics program?,"220,400.00",paraphrased
Could you provide the total semester fee for a Kenyan student studying BSc in Data Science & Analytics?,"220,400.00",paraphrased
What is what is the total semester fee for bsc in data science & analytics for a kenyan student??,"220,400.00",paraphrased
How much is the semester fee for an East African student enrolled in BSc Data Science & Analytics?,"228,400.00",paraphrased
What's the semester fee for an East African student studying BSc in Data Science & Analytics?,"228,400.00",paraphrased
What amount do East African students need to pay for a semester in the BSc Data Science & Analytics program?,"228,400.00",paraphrased
Could you provide the total cost of the semester for an East African student in the BSc Data Science & Analytics course?,"228,400.00",paraphrased
What is what is the total semester fee for bsc in data science & analytics for an east african student??,"228,400.00",paraphrased
How much does a Non-East African student need to pay for the entire semester fee for the BSc in Data Science & Analytics?,"291,790.00",paraphrased
What is the complete semester fee for the BSc in Data Science & Analytics for students who are not from East Africa?,"291,790.00",paraphrased
What is the full semester charge for a Non-East African student pursuing a BSc in Data Science & Analytics?,"291,790.00",paraphrased
Could you provide the total semester fees for the BSc in Data Science & Analytics for students who are not from East Africa?,"291,790.00",paraphrased
What is what is the total semester fee for bsc in data science & analytics for a non-east african student??,"291,790.00",paraphrased
How much does a Kenyan student need to pay in total for a semester of BSc in Software Engineering?,"220,400.00",paraphrased
What is the complete semester fee for a Kenyan student enrolled in BSc Software Engineering?,"220,400.00",paraphrased
What is the full amount a Kenyan student has to pay for one semester of Software Engineering in a BSc program?,"220,400.00",paraphrased
How much is the semester fee for a Kenyan student studying BSc in Software Engineering?,"220,400.00",paraphrased
What is what is the total semester fee for bsc in software engineering for a kenyan student??,"220,400.00",paraphrased
How much does a semester in BSc Software Engineering cost for an East African student?,"228,400.00",paraphrased
What is the semester fee amount for the BSc in Software Engineering program for students from East Africa?,"228,400.00",paraphrased
"For an East African student, what is the total fee for one semester in the BSc Software Engineering course?","228,400.00",paraphrased
What will an East African student need to pay for a semester enrolled in the BSc in Software Engineering?,"228,400.00",paraphrased
What is what is the total semester fee for bsc in software engineering for an east african student??,"228,400.00",paraphrased
How much is the semester fee for a Non-East African student enrolled in the BSc in Software Engineering program?,"291,790.00",paraphrased
What is the overall semester fee for a Non-East African student pursuing a BSc in Software Engineering?,"291,790.00",paraphrased
"For a Non-East African student, what would the total semester fee be for the BSc in Software Engineering course?","291,790.00",paraphrased
Could you provide the semester fee amount for a Non-East African student in the BSc in Software Engineering program?,"291,790.00",paraphrased
What is what is the total semester fee for bsc in software engineering for a non-east african student??,"291,790.00",paraphrased
How much does a Kenyan student need to pay for a semester in the Bachelor of Pharmacy program?,"348,100.00",paraphrased
What is the semester fee amount for a Kenyan student enrolled in the Bachelor of Pharmacy?,"348,100.00",paraphrased
What is the cost for a Kenyan student to attend one semester of the Bachelor of Pharmacy course?,"348,100.00",paraphrased
What is the semester tuition fee for a Bachelor of Pharmacy student from Kenya?,"348,100.00",paraphrased
What is what is the total semester fee for bachelor of pharmacy for a kenyan student??,"348,100.00",paraphrased
How much does a Bachelor of Pharmacy program cost per semester for students from East Africa?,"356,100.00",paraphrased
What's the overall fee for a semester in the Bachelor of Pharmacy for a student from East Africa?,"356,100.00",paraphrased
What is the semester tuition for East African students pursuing a Bachelor of Pharmacy?,"356,100.00",paraphrased
Could you provide the total semester charges for an East African student in the Bachelor of Pharmacy program?,"356,100.00",paraphrased
What is what is the total semester fee for bachelor of pharmacy for an east african student??,"356,100.00",paraphrased
How much does a Non-East African student need to pay for the entire semester fee for the Bachelor of Pharmacy program?,"455,340.00",paraphrased
What is the full semester charge for a Bachelor of Pharmacy degree for a student who is not from East Africa?,"455,340.00",paraphrased
"For a Non-East African student, what is the complete fee amount for one semester in the Bachelor of Pharmacy course?","455,340.00",paraphrased
What is the overall semester cost for a Non-East African student pursuing a Bachelor of Pharmacy?,"455,340.00",paraphrased
What is what is the total semester fee for bachelor of pharmacy for a non-east african student??,"455,340.00",paraphrased
How much does a Kenyan student have to pay for the semester fee in the BSc program of Epidemiology & Biostatistics?,"278,100.00",paraphrased
What is the semester fee amount for a Kenyan student enrolled in BSc Epidemiology & Biostatistics?,"278,100.00",paraphrased
Could you tell me the total cost of the semester for a Kenyan student studying BSc in Epidemiology & Biostatistics?,"278,100.00",paraphrased
What is the overall semester fee that a Kenyan student must pay for the BSc in Epidemiology & Biostatistics?,"278,100.00",paraphrased
"For a Kenyan student, how much is the semester fee for the Bachelor of Science in Epidemiology & Biostatistics?","278,100.00",paraphrased
How much does a semester cost for East African students enrolled in the BSc program in Epidemiology & Biostatistics?,"286,100.00",paraphrased
What is the semester fee that an East African student must pay for the BSc in Epidemiology & Biostatistics?,"286,100.00",paraphrased
What is the overall semester charge for East African students studying BSc in Epidemiology & Biostatistics?,"286,100.00",paraphrased
What would an East African student need to pay for a semester in the BSc program focused on Epidemiology & Biostatistics?,"286,100.00",paraphrased
What is what is the total semester fee for bsc in epidemiology & biostatistics for an east african student??,"286,100.00",paraphrased
How much does a Non-East African student need to pay for the total semester fee for the BSc in Epidemiology & Biostatistics?,"364,340.00",paraphrased
What is the full semester fee for a Non-East African student enrolling in the BSc program for Epidemiology & Biostatistics?,"364,340.00",paraphrased
What will a Non-East African student have to pay in total for the semester fee for the BSc in Epidemiology & Biostatistics?,"364,340.00",paraphrased
Could you provide the total semester cost for the BSc in Epidemiology & Biostatistics for a student who is not from East Africa?,"364,340.00",paraphrased
What is what is the total semester fee for bsc in epidemiology & biostatistics for a non-east african student??,"364,340.00",paraphrased
How much does a Kenyan student need to pay in total for the Bachelor of Technology in Analytical Chemistry this semester?,"236,100.00",paraphrased
What is the overall fee for a Kenyan student enrolled in the Bachelor of Technology program for Analytical Chemistry this semester?,"236,100.00",paraphrased
What is the total amount a Kenyan student pays for the semester in the Bachelor of Technology in Analytical Chemistry?,"236,100.00",paraphrased
Could you provide the total semester fee for a Kenyan student studying Bachelor of Technology in Analytical Chemistry?,"236,100.00",paraphrased
What is what is the total semester fee for bachelor of technology analytical chemistry for a kenyan student??,"236,100.00",paraphrased
How much does a Bachelor of Technology in Analytical Chemistry cost for an East African student for the semester?,"244,100.00",paraphrased
What is the semester fee amount for an East African student pursuing a Bachelor of Technology in Analytical Chemistry?,"244,100.00",paraphrased
"For an East African student, what is the overall semester charge for the Bachelor of Technology in Analytical Chemistry?","244,100.00",paraphrased
What is the total cost for a semester of the Bachelor of Technology in Analytical Chemistry for students from East Africa?,"244,100.00",paraphrased
What is what is the total semester fee for bachelor of technology analytical chemistry for an east african student??,"244,100.00",paraphrased
How much does a Non-East African student need to pay for the semester fee in the Bachelor of Technology Analytical Chemistry program?,"309,740.00",paraphrased
What is the semester fee amount for a Non-East African student pursuing a Bachelor of Technology in Analytical Chemistry?,"309,740.00",paraphrased
What is the overall cost for the semester for a Non-East African student studying Bachelor of Technology in Analytical Chemistry?,"309,740.00",paraphrased
Could you provide the total semester fee for a Non-East African student in the Bachelor of Technology program for Analytical Chemistry?,"309,740.00",paraphrased
What is what is the total semester fee for bachelor of technology analytical chemistry for a non-east african student??,"309,740.00",paraphrased
How much does a Kenyan student need to pay for the semester fee of the BSc Applied Biochemistry program?,"236,100.00",paraphrased
What is the semester fee amount for BSc Applied Biochemistry for students from Kenya?,"236,100.00",paraphrased
What is the overall cost for a semester of BSc Applied Biochemistry for a student from Kenya?,"236,100.00",paraphrased
"For a Kenyan student, what is the full semester fee for the BSc in Applied Biochemistry?","236,100.00",paraphrased
What is what is the total semester fee for bsc applied biochemistry for a kenyan student??,"236,100.00",paraphrased
How much does a East African student need to pay in total for the BSc Applied Biochemistry semester fee?,"244,100.00",paraphrased
What is the overall semester fee for an East African student enrolled in BSc Applied Biochemistry?,"244,100.00",paraphrased
What is the complete semester fee amount for East African students studying BSc Applied Biochemistry?,"244,100.00",paraphrased
"For an East African student, what is the entire semester fee for the BSc Applied Biochemistry program?","244,100.00",paraphrased
What is what is the total semester fee for bsc applied biochemistry for an east african student??,"244,100.00",paraphrased
How much does a Non-East African student have to pay for the total semester fee of the BSc Applied Biochemistry program?,"309,740.00",paraphrased
What is the overall semester fee for BSc Applied Biochemistry for students coming from outside East Africa?,"309,740.00",paraphrased
What is the semester fee amount for BSc Applied Biochemistry for students who are not from East Africa?,"309,740.00",paraphrased
"For a Non-East African student, what is the complete semester fee for the BSc Applied Biochemistry course?","309,740.00",paraphrased
What is what is the total semester fee for bsc applied biochemistry for a non-east african student??,"309,740.00",paraphrased
How much does a Kenyan student need to pay for the semester fee for the BA in Film Production and Directing?,"182,100.00",paraphrased
What is the semester fee for a Kenyan student pursuing a BA in Film Production and Directing?,"182,100.00",paraphrased
What is the overall semester tuition for a Kenyan student studying BA in Film Production and Directing?,"182,100.00",paraphrased
How much is the semester fee for a Kenyan student taking the BA in Film Production and Directing program?,"182,100.00",paraphrased
What is what is the total semester fee for ba in film production and directing for a kenyan student??,"182,100.00",paraphrased
How much does a student from East Africa need to pay for the entire semester in the BA program for Film Production and Directing?,"190,100.00",paraphrased
What's the complete semester tuition fee for East African students studying BA in Film Production and Directing?,"190,100.00",paraphrased
"For a student from East Africa, what is the total fee for a semester in the BA program focused on Film Production and Directing?","190,100.00",paraphrased
What is the overall semester fee required for an East African student pursuing a BA in Film Production and Directing?,"190,100.00",paraphrased
What is what is the total semester fee for ba in film production and directing for an east african student??,"190,100.00",paraphrased
How much does a Non-East African student need to pay for the semester fee in BA Film Production and Directing?,"239,540.00",paraphrased
What's the semester cost for the BA in Film Production and Directing for students who are not from the East African region?,"239,540.00",paraphrased
What is the semester fee for students outside of East Africa enrolling in the BA in Film Production and Directing?,"239,540.00",paraphrased
Could you provide the total semester fee for a Non-East African student pursuing a BA in Film Production and Directing?,"239,540.00",paraphrased
What is what is the total semester fee for ba in film production and directing for a non-east african student??,"239,540.00",paraphrased
How much does a Kenyan student need to pay for the semester fee of a BA in Animation?,"182,100.00",paraphrased
What is the semester fee amount for a Kenyan student pursuing a BA in Animation?,"182,100.00",paraphrased
What is the overall semester fee for a Kenyan student enrolled in a BA in Animation?,"182,100.00",paraphrased
What will a Kenyan student have to pay for the semester to study BA in Animation?,"182,100.00",paraphrased
What is what is the total semester fee for ba in animation for a kenyan student??,"182,100.00",paraphrased
How much does a semester cost for an East African student studying BA in Animation?,"190,100.00",paraphrased
What is the total cost per semester for a BA in Animation for a student from East Africa?,"190,100.00",paraphrased
What is the overall semester fee for the BA in Animation degree for students from East Africa?,"190,100.00",paraphrased
